GPU name,Memory (GB),Memory type,Memory bandwidth,Clock speed,Memory Speed,CUDA cores
RTX PRO 6000 Blackwell,96,GDDR7,512,2617,1750,24064
Radeon RX 5700 XT,8,GDDR6,256,1905,1750,2560
GeForce GTX 1070,8,GDDR5,256,1683,2002,1920
Radeon RX 590,8,GDDR5,256,1545,2000,2304
Radeon RX 7600,8,GDDR6,128,2655,2250,2048
Radeon RX 9060 XT 8 GB,8,GDDR6,128,3130,2518,2048
Radeon RX 6650 XT,8,GDDR6,128,2635,2190,2048
GeForce GTX 1070 Ti,8,GDDR5,256,1683,2002,2432
GeForce RTX 2080 SUPER,8,GDDR6,256,1815,1937,3072
GeForce RTX 3050 8 GB,8,GDDR6,128,1777,1750,2560
GeForce RTX 5060 Ti 8 GB,8,GDDR7,128,2572,1750,4608
GeForce RTX 3070 Ti,8,GDDR6X,256,1770,1188,6144
GeForce RTX 2060 SUPER,8,GDDR6,256,1650,1750,2176
GeForce RTX 2080,8,GDDR6,256,1710,1750,2944
GeForce GTX 1080,8,GDDR5X,256,1733,1251,2560
GeForce RTX 2070,8,GDDR6,256,1620,1750,2304
GeForce RTX 4060 Ti 8 GB,8,GDDR6,128,2535,2250,4352
Radeon RX 6600 XT,8,GDDR6,128,2589,2000,2048
Radeon RX 6600,8,GDDR6,128,2491,1750,1792
GeForce RTX 2070 SUPER,8,GDDR6,256,1770,1750,2560
GeForce RTX 4060,8,GDDR6,128,2460,2125,3072
GeForce RTX 5060,8,GDDR7,128,2497,1750,3840
Radeon RX 7400,8,GDDR6,128,2300,2250,1792
Radeon RX 5700,8,GDDR6,256,1725,1750,2304
Radeon RX 580,8,GDDR5,256,1340,2000,2304
GeForce RTX 3060 Ti,8,GDDR6,256,1665,1750,4864
GeForce RTX 4060 Mobile,8,GDDR6,128,1890,2000,3072
GeForce RTX 5050,8,GDDR6,128,2572,2500,2560
GeForce RTX 3070,8,GDDR6,256,1725,1750,5888
GeForce GTX 1660,6,GDDR5,192,1785,2001,1408
GeForce RTX 4050 Mobile,6,GDDR6,96,1755,2000,2560
Radeon RX 5600 XT,6,GDDR6,192,1560,1500,2304
GeForce RTX 2060,6,GDDR6,192,1680,1750,1920
GeForce GTX 980 Ti,6,GDDR5,384,1076,1753,2816
GeForce GTX 1060 6 GB,6,GDDR5,192,1709,2002,1280
GeForce RTX 4050,6,GDDR6,96,2640,2250,2560
